# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 5.598543151648835,3.7496286835025634,0.7146405409005402,172.66423374563738,2.5292275339556123,2.9999999999997358,-0.04789458595389544,180.0,-6.949105604683522,0.0
 5.603570778534469,3.736980142739899,0.7162767234686791,172.62929623546816,2.5443104146125135,2.999999999999735,-0.047184085836425665,180.0,-6.88692894423573,0.0
 5.608585914038769,3.724289095449634,0.717926183577145,172.59475735360434,2.5593558211254113,2.999999999999823,-0.04649576721794858,180.0,-6.826677518326471,0.0
 5.613588466199573,3.711556335616083,0.7195887831657404,172.5606065432339,2.574363477607825,3.000000000000089,-0.04582888761775813,180.0,-6.768303022107333,0.0
 5.618578344597629,3.698782657223558,0.7212643841742672,172.5268335341924,2.5893331128019925,3.000000000000089,-0.04518273831221415,180.0,-6.711759246603779,0.0
 5.62355546030027,3.685968854256375,0.7229528485425278,172.49342833185378,2.604264459909917,3.0,-0.04455664150756052,180.0,-6.6570019853785265,0.0
 5.628519725807226,3.673115720698846,0.7246540382103244,172.46038120651806,2.6191572564307837,3.000000000000179,-0.04394994879109068,180.0,-6.603988956493934,0.0
 5.633471054998445,3.660224050535286,0.7263678151174591,172.42768268321925,2.6340112440044425,3.0000000000001794,-0.04336204075264172,180.0,-6.552679719195794,0.0
 5.638409363083868,3.647294637750007,0.7280940412037343,172.39532353198078,2.648826168260712,3.0000000000000897,-0.04279232402632107,180.0,-6.503035602517164,0.0
 5.643334566555041,3.634328276327324,0.7298325784089522,172.3632947584581,2.663601778674231,2.9999999999998197,-0.04224023166081455,180.0,-6.455019633401311,0.0
 5.64824658313851,3.6213257602515503,0.7315832886729149,172.33158759497218,2.6783378284246364,2.9999999999997287,-0.041705221047637984,180.0,-6.40859647157884,0.0
 5.653145331750903,3.608287883507,0.7333460339354246,172.30019349189968,2.6930340742618144,3.000000000000181,-0.04118677257218954,180.0,-6.363732345109802,0.0
 5.65803073245564,3.5952154400779848,0.7351206761362836,172.2691041094161,2.707690276376028,3.0000000000001816,-0.04068438915541972,180.0,-6.320394993796372,0.0
 5.662902706421194,3.582109223948821,0.7369070772152942,172.23831130955432,2.7223061982726904,3.0,-0.04019759492703122,180.0,-6.278553609396132,0.0
 5.667761175880832,3.568970029103821,0.7387050991122586,172.20780714859237,2.736881606651605,3.000000000000183,-0.039725934195960245,180.0,-6.238178786912513,0.0
 5.672606064093787,3.555798649527298,0.7405146037669788,172.17758386971735,2.751416271290471,3.0000000000001834,-0.03926897057531965,180.0,-6.199242472385951,0.0
 5.677437295307787,3.542595879203567,0.7423354531192572,172.1476338959816,2.765909964932472,3.000000000000092,-0.03882628641489244,180.0,-6.161717914581911,0.0
 5.682254794722893,3.5293625121169407,0.744167509108896,172.11794982353206,2.780362463177789,2.9999999999999076,-0.03839748164196078,180.0,-6.125579624349123,0.0
 5.687058488456581,3.5160993422517333,0.7460106336756973,172.08852441507537,2.7947735443788537,3.0000000000000924,-0.03798217335687692,180.0,-6.090803328310478,0.0
 5.6918483035100325,3.5028071635922577,0.7478646887594635,172.0593505936058,2.8091429895392075,3.000000000000093,-0.03757999452846805,180.0,-6.057365932296424,0.0
 5.696624167735561,3.4894867701228285,0.7497295362999968,172.0304214363488,2.8234705822157937,2.999999999999907,-0.03719059405566159,180.0,-6.025245482451497,0.0
 5.701386009805152,3.476138955827759,0.7516050382370993,172.0017301689309,2.8377561084245637,2.9999999999998135,-0.03681363516286606,180.0,-5.994421130951733,0.0
